Refreshing SNAP Community Extensions
Refreshing SNAP
Refreshing SNAP Extensions
Code Name                                          Version  State    
-------------------------------------------------- -------- ---------
org.csa.rstb.rstb.op.polarimetric.tools            7.5.2    Enabled  
org.esa.s2tbx.s2tbx.s2msi.reader                   7.0.0    Enabled  
org.esa.snap.snap.temporal.percentile              7.0.3    Enabled  
org.netbeans.swing.plaf                            1.41.1   Enabled  
org.netbeans.modules.extexecution                  1.48.1   Enabled  
org.esa.snap.snap.unmix.ui                         7.0.3    Enabled  
org.netbeans.modules.options.api                   1.45.1   Enabled  
org.esa.snap.snap.pgx.reader                       7.0.3    Enabled  
org.openide.modules                                7.48.1   Enabled  
org.esa.s2tbx.s2tbx.forest.cover.change            7.0.0    Enabled  
org.esa.snap.snap.smart.configurator.ui            7.0.3    Enabled  
org.esa.s3tbx.s3tbx.landsat.reader                 7.0.2    Enabled  
org.esa.sen2coral.sen2coral.kit                    1.0.0    Available
org.openide.util.lookup                            8.33.1   Enabled  
org.esa.s2tbx.s2tbx.alosAV2.reader                 7.0.0    Enabled  
org.netbeans.modules.masterfs.nio2                 1.15.1   Enabled  
org.esa.s3tbx.s3tbx.sentinel3.reader               7.0.2    Enabled  
org.esa.snap.snap.python                           7.0.3    Enabled  
org.esa.s2tbx.s2tbx.worldview2esa.reader           7.0.0    Enabled  
org.esa.s1tbx.s1tbx.kit                            7.0.2    Enabled  
org.esa.s2tbx.s2tbx.gdal.reader                    7.0.0    Enabled  
org.netbeans.api.annotations.common                1.27.1   Enabled  
org.esa.snap.snap.remote.execution.ui              7.0.3    Enabled  
org.esa.snap.globcover.worldmap                    7.0.3    Enabled  
org.netbeans.core.output2                          1.41.1   Enabled  
org.esa.snap.snap.core                             7.0.3    Enabled  
org.esa.snap.snap.branding                         7.0.3    Enabled  
org.netbeans.core.netigso                          1.31.1   Enabled  
org.esa.s3tbx.s3tbx.spot.vgt.reader                7.0.2    Enabled  
org.netbeans.libs.jna.platform                     1.14.1   Enabled  
org.esa.s3tbx.s3tbx.sentinel3.reader.ui            7.0.2    Enabled  
org.esa.snap.snap.smart.configurator               7.0.3    Enabled  
org.esa.s2tbx.s2tbx.otb.adapters.kit               7.0.0    Available
org.esa.s2tbx.s2tbx.land.cover                     7.0.0    Enabled  
org.esa.snap.snap.statistics                       7.0.3    Enabled  
org.openide.execution                              9.3.1    Enabled  
org.esa.s3tbx.s3tbx.mphchl                         7.0.2    Enabled  
org.esa.s1tbx.s1tbx.commons                        7.0.2    Enabled  
org.esa.s3tbx.s3tbx.meris.l2auxdata                7.0.2    Enabled  
org.esa.snap.idepix.probav                         7.0.0    Available
org.esa.snap.ceres.ui                              7.0.3    Enabled  
org.netbeans.spi.quicksearch                       1.27.1   Enabled  
org.openide.windows                                6.75.1   Enabled  
org.esa.s3tbx.s3tbx.o2a.harmonisation              7.0.2    Enabled  
org.netbeans.modules.sampler                       1.14.1   Enabled  
org.netbeans.modules.autoupdate.ui                 1.45.1   Enabled  
org.esa.s3tbx.s3tbx.aatsr.sst.ui                   7.0.2    Enabled  
org.esa.snap.snap.collocation                      7.0.3    Enabled  
org.esa.s3tbx.s3tbx.olci.radiometry                7.0.2    Enabled  
org.esa.s2tbx.s2tbx.radiometric.indices.ui         7.0.0    Enabled  
org.esa.snap.snap.gpf.ui                           7.0.3    Enabled  
org.netbeans.modules.templates                     1.7.1    Enabled  
org.esa.snap.ceres.core                            7.0.3    Enabled  
org.esa.snap.snap.raster                           7.0.3    Enabled  
org.esa.snap.netbeans.tile                         1.0      Enabled  
org.esa.s3tbx.s3tbx.slstr.regrid                   7.0.2    Enabled  
org.openide.util.enumerations                      6.33.1   Installed
org.esa.snap.snap.csv.dataio                       7.0.3    Enabled  
org.netbeans.modules.extbrowser                    1.53.1   Enabled  
org.openide.actions                                6.39.1   Enabled  
org.openide.compat                                 6.39.1   Installed
org.esa.s2tbx.Pansharpening.bayes                  7.0.0    Available
org.esa.s1tbx.s1tbx.op.analysis.ui                 7.0.2    Enabled  
org.esa.snap.seadas.seadas.reader.ui               1.8.2    Enabled  
org.esa.snap.snap.pixel.extraction                 7.0.3    Enabled  
org.openide.loaders                                7.66.1   Enabled  
org.esa.s2tbx.s2tbx.gdal.reader.ui                 7.0.0    Enabled  
org.openide.nodes                                  7.45.1   Enabled  
org.netbeans.modules.keyring.fallback              1.8.1    Enabled  
org.esa.snap.snap.binning                          7.0.3    Enabled  
org.netbeans.swing.outline                         1.34.1   Enabled  
org.esa.s1tbx.s1tbx.op.feature.extraction          7.0.2    Enabled  
org.openide.io                                     1.49.1   Enabled  
org.esa.s3tbx.s3tbx.merisl3.reader                 7.0.2    Enabled  
org.esa.snap.snap.pixel.extraction.ui              7.0.3    Enabled  
org.jlinda.jlinda.nest                             7.0.2    Enabled  
org.esa.s3tbx.s3tbx.fub.wew.ui                     7.0.2    Enabled  
org.esa.s2tbx.s2tbx.spot.reader                    7.0.0    Enabled  
org.esa.s2tbx.s2tbx.radiometric.indices            7.0.0    Enabled  
net.java.html.geo                                  1.3.0    Installed
org.esa.snap.snap.gpf                              7.0.3    Enabled  
org.esa.snap.snap.land.cover.ui                    7.0.3    Enabled  
org.netbeans.libs.asm                              5.3.1    Enabled  
org.esa.s2tbx.s2tbx.muscate.reader                 7.0.0    Enabled  
org.esa.snap.snap.bigtiff                          7.0.3    Enabled  
org.esa.snap.snap.tango                            7.0.3    Enabled  
org.esa.s2tbx.s2tbx.grm.ui                         7.0.0    Enabled  
org.esa.s3tbx.s3tbx.meris.smac                     7.0.2    Enabled  
org.esa.smostbx.smos.tools                         5.6.0    Available
org.netbeans.modules.masterfs.linux                1.13.1   Enabled  
org.netbeans.modules.favorites                     1.46.1   Enabled  
eu.s2gm.s2gm.snap.plugins                          1.2.2    Available
org.esa.s1tbx.s1tbx.op.sar.processing              7.0.2    Enabled  
org.esa.snap.snap.rut                              2.0      Available
org.netbeans.modules.options.keymap                1.37.1   Enabled  
org.esa.snap.snap.arcbingrid.reader                7.0.3    Enabled  
org.esa.snap.snap.envisat.reader                   7.0.3    Enabled  
org.netbeans.modules.queries                       1.43.1   Enabled  
org.esa.sen2coral.sen2coral.algorithms             1.0.0    Available
org.esa.snap.idepix.modis                          7.0.0    Available
org.esa.s3tbx.s3tbx.insitu.client.ui               7.0.2    Enabled  
org.vito.probavbox.probavbox.kit                   2.1.0    Available
org.esa.s2tbx.s2tbx.rapideye.reader                7.0.0    Enabled  
org.netbeans.modules.editor.mimelookup             1.40.1   Enabled  
org.esa.smostbx.smos.gui                           5.6.0    Available
org.esa.snap.snap.worldwind                        7.0.3    Enabled  
org.esa.s1tbx.s1tbx.rcp                            7.0.2    Enabled  
org.esa.snap.snap.jython                           7.0.3    Enabled  
org.esa.snap.ceres.glayer                          7.0.3    Enabled  
org.esa.s3tbx.s3tbx.arc.ui                         7.0.2    Enabled  
org.netbeans.libs.felix                            2.15.1   Enabled  
org.esa.s2tbx.Segmentation.cc                      7.0.0    Available
org.csa.rstb.rstb.op.classification.ui             7.5.2    Enabled  
org.esa.snap.snap.pconvert                         7.0.3    Enabled  
org.esa.snap.snap.geotiff                          7.0.3    Enabled  
