,names,long_names,units
0,factor,Snow covered fraction within mixed pixels,
1,O3_SICE,total ozone product (OLCI) corrected for ozone scattering,kg/m2
2,r0,reflectance of a semi-infinite non-absorbing snow layer,unitless
3,al,effective absorption length,mm
"4,pol_type,""type of pollutant: 1(soot), 2( dust), 3 and 4 (other or mixture)"","
5,impurity_load,pollutant load,ppm_weight
6,isnow,Diagnostic code for surface type (see  https://doi.org/10.22008/FK2/FBIFOX),
7,grain_diameter,Grain Diameter,mm
8,snow_specific_surface_area,Snow Specific Surface Area,m2/kg
9,albedo_bb_planar_sw,shortwave broadband planar albedo,unitless
10,albedo_bb_spherical_sw,shortwave broadband spherical albedo,unitless
11,rBRR_01,bottom of the atmosphere surface reflectance (OLCI Band 1),unitless
12,rBRR_02,bottom of the atmosphere surface reflectance (OLCI Band 2),unitless
13,rBRR_03,bottom of the atmosphere surface reflectance (OLCI Band 3),unitless
14,rBRR_04,bottom of the atmosphere surface reflectance OLCI Band 4),unitless
15,rBRR_05,bottom of the atmosphere surface reflectance (OLCI Band 5),unitless
16,rBRR_06,bottom of the atmosphere surface reflectance (OLCI Band 6),unitless
17,rBRR_07,bottom of the atmosphere surface reflectance OLCI Band 7),unitless
18,rBRR_08,bottom of the atmosphere surface reflectance (OLCI Band 8),unitless
19,rBRR_09,bottom of the atmosphere surface reflectance (OLCI Band 9),unitless
20,rBRR_10,bottom of the atmosphere surface reflectance OLCI Band 10),unitless
21,rBRR_11,bottom of the atmosphere surface reflectance (OLCI Band 11),unitless
22,rBRR_12,bottom of the atmosphere surface reflectance (OLCI Band 12),unitless
23,rBRR_13,bottom of the atmosphere surface reflectance OLCI Band 13),unitless
24,rBRR_14,bottom of the atmosphere surface reflectance (OLCI Band 14),unitless
25,rBRR_15,bottom of the atmosphere surface reflectance (OLCI Band 15),unitless
26,rBRR_16,bottom of the atmosphere surface reflectance OLCI Band 16),unitless
27,rBRR_17,bottom of the atmosphere surface reflectance (OLCI Band 17),unitless
28,rBRR_18,bottom of the atmosphere surface reflectance (OLCI Band 18),unitless
29,rBRR_19,bottom of the atmosphere surface reflectance OLCI Band 19),unitless
30,rBRR_20,bottom of the atmosphere surface reflectance (OLCI Band 20),unitless
31,rBRR_21,bottom of the atmosphere surface reflectance (OLCI Band 21),unitless
32,albedo_spectral_planar_01,spectral planar albedo (OLCI bands 1),unitless
33,albedo_spectral_planar_02,spectral planar albedo (OLCI bands 2),unitless
34,albedo_spectral_planar_03,spectral planar albedo (OLCI bands 3),unitless
